IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
3.17.133.102,443,443,true,IAD,North America,US,Ashburn,248,4.51
3.140.249.210,443,443,true,IAD,North America,US,Ashburn,348,4.51
3.99.211.207,443,443,true,YUL,North America,CA,Montréal,252,4.50
3.131.152.48,443,443,true,IAD,North America,US,Ashburn,242,4.50
3.23.105.7,443,443,true,IAD,North America,US,Ashburn,348,4.50
3.21.167.216,443,443,true,IAD,North America,US,Ashburn,340,4.50
52.14.112.47,443,443,true,IAD,North America,US,Ashburn,382,4.49
18.117.96.181,443,443,true,IAD,North America,US,Ashburn,350,4.49
3.144.225.224,443,443,true,IAD,North America,US,Ashburn,312,4.47
18.223.235.29,443,443,true,IAD,North America,US,Ashburn,296,4.46
3.143.218.212,443,443,true,IAD,North America,US,Ashburn,365,4.46
3.15.24.204,443,443,true,IAD,North America,US,Ashburn,382,4.45
52.15.253.11,443,443,true,IAD,North America,US,Ashburn,337,4.45
3.128.91.34,443,443,true,IAD,North America,US,Ashburn,241,4.44
52.14.25.128,443,443,true,IAD,North America,US,Ashburn,323,4.44
3.129.18.16,443,443,true,IAD,North America,US,Ashburn,435,4.44
3.14.128.87,443,443,true,IAD,North America,US,Ashburn,289,4.44
3.142.174.116,443,443,true,IAD,North America,US,Ashburn,237,4.43
3.143.239.211,443,443,true,IAD,North America,US,Ashburn,253,4.42
204.110.221.239,80,443,true,YUL,North America,CA,Montréal,292,4.42
18.191.184.199,443,443,true,IAD,North America,US,Ashburn,272,4.42
3.133.148.69,443,443,true,CMH,North America,US,Columbus,239,4.42
3.138.169.5,443,443,true,IAD,North America,US,Ashburn,256,4.41
52.15.40.25,443,443,true,IAD,North America,US,Ashburn,315,4.40
18.117.140.230,443,443,true,IAD,North America,US,Ashburn,377,4.40
18.188.190.5,443,443,true,IAD,North America,US,Ashburn,283,4.40
18.188.72.19,443,443,true,IAD,North America,US,Ashburn,231,4.40
18.116.62.124,443,443,true,IAD,North America,US,Ashburn,289,4.39
3.14.153.62,443,443,true,IAD,North America,US,Ashburn,243,4.38
3.16.56.134,443,443,true,IAD,North America,US,Ashburn,304,4.38
3.87.237.89,443,443,true,IAD,North America,US,Ashburn,265,4.38
3.22.241.99,443,443,true,ORD,North America,US,Chicago,319,4.38
3.145.139.117,443,443,true,IAD,North America,US,Ashburn,287,4.36
18.226.226.152,443,443,true,IAD,North America,US,Ashburn,299,4.36
3.16.109.166,443,443,true,IAD,North America,US,Ashburn,320,4.33
3.133.102.60,443,443,true,IAD,North America,US,Ashburn,265,4.32
3.141.107.56,443,443,true,IAD,North America,US,Ashburn,322,4.30
18.188.89.152,443,443,true,IAD,North America,US,Ashburn,238,4.30
18.188.131.78,443,443,true,IAD,North America,US,Ashburn,375,4.30
3.16.40.46,443,443,true,IAD,North America,US,Ashburn,396,4.30
3.138.134.219,443,443,true,IAD,North America,US,Ashburn,258,4.29
3.144.191.4,443,443,true,ORD,North America,US,Chicago,281,4.29
3.144.182.248,443,443,true,IAD,North America,US,Ashburn,243,4.28
3.121.160.14,443,443,true,FRA,Europe,DE,Frankfurt,226,4.28
3.144.225.224,443,443,true,IAD,North America,US,Ashburn,408,4.28
3.133.112.185,443,443,true,CMH,North America,US,Columbus,327,4.28
3.142.140.55,443,443,true,IAD,North America,US,Ashburn,312,4.28
204.110.221.105,80,443,true,YUL,North America,CA,Montréal,283,4.28
52.15.244.34,443,443,true,IAD,North America,US,Ashburn,399,4.27
18.221.180.82,443,443,true,IAD,North America,US,Ashburn,408,4.27
3.149.238.167,443,443,true,CMH,North America,US,Columbus,412,4.27
3.133.148.69,443,443,true,IAD,North America,US,Ashburn,242,4.26
18.227.10.79,443,443,true,IAD,North America,US,Ashburn,356,4.25
18.116.117.70,443,443,true,IAD,North America,US,Ashburn,307,4.25
204.110.223.109,80,443,true,CMH,North America,US,Columbus,273,4.24
52.200.255.67,443,443,true,IAD,North America,US,Ashburn,308,4.23
3.129.18.16,443,443,true,IAD,North America,US,Ashburn,280,4.21
23.22.233.248,443,443,true,IAD,North America,US,Ashburn,478,4.21
3.133.112.185,443,443,true,CMH,North America,US,Columbus,321,4.20
3.133.91.44,443,443,true,IAD,North America,US,Ashburn,236,4.20
3.144.72.220,443,443,true,IAD,North America,US,Ashburn,269,4.19
3.142.221.127,443,443,true,IAD,North America,US,Ashburn,414,4.19
3.139.233.91,443,443,true,IAD,North America,US,Ashburn,242,4.19
3.80.22.185,443,443,true,IAD,North America,US,Ashburn,318,4.19
3.142.140.11,443,443,true,IAD,North America,US,Ashburn,386,4.18
18.118.3.152,443,443,true,IAD,North America,US,Ashburn,384,4.18
3.144.200.128,443,443,true,IAD,North America,US,Ashburn,289,4.18
18.220.155.242,443,443,true,IAD,North America,US,Ashburn,319,4.18
3.135.236.68,443,443,true,IAD,North America,US,Ashburn,322,4.17
18.138.235.57,443,443,true,SIN,Asia Pacific,SG,Singapore,335,4.17
18.191.100.203,443,443,true,IAD,North America,US,Ashburn,249,4.15
18.188.18.9,443,443,true,IAD,North America,US,Ashburn,293,4.15
3.17.162.88,443,443,true,IAD,North America,US,Ashburn,272,4.15
3.12.198.154,443,443,true,IAD,North America,US,Ashburn,473,4.14
3.144.42.255,443,443,true,IAD,North America,US,Ashburn,234,4.14
3.131.98.24,443,443,true,IAD,North America,US,Ashburn,239,4.14
54.236.212.166,8443,443,true,IAD,North America,US,Ashburn,257,4.14
3.28.199.214,443,443,true,MRS,Europe,FR,Marseille,288,4.13
107.21.144.177,443,443,true,IAD,North America,US,Ashburn,333,4.13
3.14.153.62,443,443,true,IAD,North America,US,Ashburn,295,4.12
3.21.236.69,443,443,true,IAD,North America,US,Ashburn,237,4.10
18.222.172.101,443,443,true,IAD,North America,US,Ashburn,244,4.10
3.141.14.5,443,443,true,IAD,North America,US,Ashburn,238,4.07
3.144.26.84,443,443,true,CMH,North America,US,Columbus,228,4.05
3.88.175.102,443,443,true,IAD,North America,US,Ashburn,286,4.04
3.137.195.144,443,443,true,IAD,North America,US,Ashburn,252,4.03
3.17.142.96,443,443,true,IAD,North America,US,Ashburn,247,4.01
3.17.189.28,443,443,true,IAD,North America,US,Ashburn,314,4.01
3.140.211.75,443,443,true,IAD,North America,US,Ashburn,339,4.00
54.234.154.84,443,443,true,IAD,North America,US,Ashburn,318,3.99
204.110.223.127,80,443,true,ORD,North America,US,Chicago,325,3.99
204.110.221.181,443,443,true,YUL,North America,CA,Montréal,292,3.99
18.217.255.64,443,443,true,IAD,North America,US,Ashburn,228,3.98
204.110.221.226,80,443,true,YUL,North America,CA,Montréal,299,3.97
3.84.182.219,443,443,true,IAD,North America,US,Ashburn,363,3.97
